index,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190,192,194,196,198,200,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254
index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,8:42:30  20.11.2023,8:50:32  20.11.2023,8:56:07  20.11.2023,9:03:07  20.11.2023,9:09:09  20.11.2023,9:14:58  20.11.2023,9:21:10  20.11.2023,9:29:24  20.11.2023,9:35:52  20.11.2023,9:42:20  20.11.2023,9:48:59  20.11.2023,9:55:01  20.11.2023,10:02:24  20.11.2023,10:09:40  20.11.2023,10:18:03  20.11.2023,15:33:45  20.11.2023,15:39:22  20.11.2023,15:47:10  20.11.2023,15:53:20  20.11.2023,15:59:34  20.11.2023,16:06:34  20.11.2023,16:13:05  20.11.2023,16:19:37  20.11.2023,16:26:10  20.11.2023,16:32:45  20.11.2023,16:39:24  20.11.2023,16:45:59  20.11.2023,16:52:46  20.11.2023,16:59:46  20.11.2023,17:05:56  20.11.2023,21:21:56  20.11.2023,21:26:03  20.11.2023,21:30:06  20.11.2023,21:34:22  20.11.2023,21:38:24  20.11.2023,21:42:52  20.11.2023,21:47:30  20.11.2023,21:51:40  20.11.2023,21:56:12  20.11.2023,22:00:18  20.11.2023,22:04:16  20.11.2023,22:08:25  20.11.2023,22:12:30  20.11.2023,22:16:43  20.11.2023,22:20:52  20.11.2023,8:29:22  21.11.2023,8:33:47  21.11.2023,8:37:45  21.11.2023,8:41:47  21.11.2023,8:45:44  21.11.2023,8:49:38  21.11.2023,8:53:29  21.11.2023,8:57:20  21.11.2023,9:02:20  21.11.2023,9:07:07  21.11.2023,9:11:14  21.11.2023,9:15:16  21.11.2023,9:19:14  21.11.2023,9:23:23  21.11.2023,9:27:37  21.11.2023,19:47:00  21.11.2023,19:52:48  21.11.2023,20:09:52  21.11.2023,20:16:36  21.11.2023,20:23:02  21.11.2023,20:29:18  21.11.2023,20:35:21  21.11.2023,20:42:39  21.11.2023,20:48:47  21.11.2023,20:54:45  21.11.2023,21:01:57  21.11.2023,21:11:52  21.11.2023,21:17:48  21.11.2023,21:24:23  21.11.2023,21:30:49  21.11.2023
id,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP
11,223,242,248,269,269,269,269,269,269,279,279,279,279,279,279,248,258,271,299,309,309,319,319,329,329,338,338,322,325,328,269,279,279,289,299,309,309,319,319,306,309,309,312,316,319,357,357,357,357,357,357,357,357,309,293,296,296,294,297,298,325,357,390,390,390,422,422,422,422,347,344,344,337,331,328
21,1634,1618,1672,2253,2283,2303,2562,2602,2632,2971,2961,3000,3050,3110,3120,1886,1943,1896,2293,2283,2313,2303,2323,2213,2093,2143,2073,1452,1477,1369,2901,3120,2961,2971,3050,3060,2602,2622,2512,1704,1707,1720,948,928,874,6989,7217,7087,8257,8745,8192,5754,6079,5353,1181,1276,1209,409,413,421,9460,10240,9850,10436,10468,9948,7575,7672,7347,919,1008,1015,462,442,445
31,1682,1707,1758,2332,2372,2402,2661,2681,2731,3030,3030,3130,3190,3220,3250,1982,2033,1988,2402,2342,2412,2362,2392,2283,2163,2193,2153,1487,1471,1430,2991,3200,3040,3080,3150,3160,2681,2701,2612,1774,1771,1797,967,979,925,7282,7510,7347,8550,9070,8550,5884,6307,5513,1193,1283,1254,415,421,417,9850,10696,10240,10761,10826,10338,7867,7900,7640,948,1059,1027,442,451,439
41,1710,1663,1774,2332,2442,2432,2671,2721,2801,3130,3100,3190,3200,3280,3260,1991,2065,2007,2422,2362,2432,2392,2412,2293,2143,2203,2163,1525,1487,1426,3020,3230,3110,3090,3210,3180,2721,2761,2602,1768,1758,1819,944,963,932,7379,7640,7477,8647,9168,8582,5982,6372,5613,1193,1305,1260,419,432,422,9980,10761,10371,10891,10923,10371,7965,7997,7737,967,1046,1021,452,436,440
51,1730,1742,1800,2392,2432,2442,2761,2761,2781,3130,3090,3180,3280,3270,3329,2010,2068,2017,2432,2412,2442,2392,2412,2323,2183,2203,2183,1509,1477,1442,3050,3280,3100,3150,3260,3260,2721,2761,2642,1765,1790,1803,957,973,906,7477,7737,7542,8745,9200,8680,6079,6437,5643,1197,1324,1257,413,428,427,10045,10891,10436,10956,11021,10501,8030,8095,7770,954,1059,1027,446,446,418
61,1720,1707,1829,2402,2442,2472,2721,2771,2811,3150,3110,3240,3300,3310,3349,2014,2090,2020,2422,2402,2462,2422,2462,2313,2133,2193,2173,1500,1474,1420,3070,3290,3170,3150,3230,3250,2751,2781,2671,1800,1832,1832,973,941,884,7542,7802,7640,8810,9330,8777,6079,6469,5702,1203,1334,1257,420,429,425,10143,10956,10566,11053,11151,10566,8062,8160,7835,967,1053,1034,445,430,435
